,Source,Target,P
2,CHESTERFIELD,NOTTINGHAM,1.00E-07
3,MANCHESTER,PLYMOUTH,2.00E-07
4,CHESTERFIELD,BRISTOL,1.00E-06
5,NORWICH,BRISTOL,1.00E-05
6,OXFORD,SOUTHAMPTON,2.00E-05
7,CHESTERFIELD,SOUTHAMPTON,3.00E-05
8,PRESTON,NOTTINGHAM,3.00E-05
9,LONDONBEXELY,NORWICH,5.00E-05
10,LONDONBEXELY,NOTTINGHAM,9.00E-05
11,CHESTERFIELD,LEEDS,0.0002
12,PRESTON,LEEDS,0.0003
13,NOTTINGHAM,BRISTOL,0.0005
14,PRESTON,BRISTOL,0.0006
15,CHESTERFIELD,PLYMOUTH,0.0007
16,NOTTINGHAM,LEEDS,0.0007
17,PRESTON,NORWICH,0.0007
18,LONDONBEXELY,BRISTOL,0.0011
19,CHESTERFIELD,OXFORD,0.0011
20,CHESTERFIELD,LONDONROAD,0.0025
